Year,Runtype,Indicator,medval,lowval,highval,combined
2030,ProgAnyDisease_CI,cumulative_incDc_diff,8.68665329668738,4.87992171228406,20.5182535160395,"0.009 (0.005, 0.021)"
2030,ProgAnyDisease_CI,cumulative_incDs_diff,30.8349679638741,17.0551197621617,66.6302666719815,"0.031 (0.017, 0.067)"
2030,ProgAnyDisease_CI,cumulative_incDsDc_diff,39.3615128410534,21.8952632928957,87.6058501628474,"0.039 (0.022, 0.088)"
2030,ProgAnyDisease_CI,cumulative_incDn_diff,87.1913347877026,52.4815708808289,128.233110801317,"0.087 (0.052, 0.128)"
2030,ProgAnyDisease_CI,cumulative_mort_diff,0.543929440194461,0.292710616647203,1.3528486705328,"0.001 (0, 0.001)"
2031,ProgAnyDisease_CI,cumulative_incDc_diff,29.3089136742874,17.3255084365849,65.738196586792,"0.029 (0.017, 0.066)"
2031,ProgAnyDisease_CI,cumulative_incDs_diff,90.7355930845315,55.0974149053359,190.336009550675,"0.091 (0.055, 0.19)"
2031,ProgAnyDisease_CI,cumulative_incDsDc_diff,121.035313005164,72.253442521762,257.529120913875,"0.121 (0.072, 0.258)"
2031,ProgAnyDisease_CI,cumulative_incDn_diff,222.219884426095,134.435372231531,334.095618692754,"0.222 (0.134, 0.334)"
2031,ProgAnyDisease_CI,cumulative_mort_diff,2.56771494350301,1.56324324692941,5.88618762590494,"0.003 (0.002, 0.006)"
2032,ProgAnyDisease_CI,cumulative_incDc_diff,61.7092819410837,38.7949535011646,134.341366041225,"0.062 (0.039, 0.134)"
2032,ProgAnyDisease_CI,cumulative_incDs_diff,182.142674854294,114.716986956144,368.676649432637,"0.182 (0.115, 0.369)"
2032,ProgAnyDisease_CI,cumulative_incDsDc_diff,243.653696776424,153.445525796221,504.328928533515,"0.244 (0.153, 0.504)"
2032,ProgAnyDisease_CI,cumulative_incDn_diff,401.233601774357,241.693839220897,593.391438207057,"0.401 (0.242, 0.593)"
2032,ProgAnyDisease_CI,cumulative_mort_diff,6.45940800876963,4.0554529331952,13.9905918646786,"0.006 (0.004, 0.014)"
