Year,Runtype,Indicator,medval,lowval,highval
2023,baseline,N_incDs,6744.05323502545,5643.17205422319,7838.85518145006
2024,baseline,N_incDs,6568.40325506193,5464.02439073666,7656.98234689825
2025,baseline,N_incDs,6391.97760042558,5297.847008194,7499.89896162473
2026,baseline,N_incDs,6229.60867867222,5149.87775955911,7356.81748044405
2027,baseline,N_incDs,6076.68125183472,4996.65648104185,7218.16395358542
2028,baseline,N_incDs,5927.39366636613,4859.74723833915,7087.98620453248
2029,baseline,N_incDs,5795.67969845203,4725.36280745692,6961.90105811694
2030,baseline,N_incDs,5657.18524672926,4593.86604539514,6835.18788361377
2031,baseline,N_incDs,5529.47882685026,4468.09955331047,6707.76869096462
2032,baseline,N_incDs,5403.25508323932,4347.77617515844,6583.90665420593
2033,baseline,N_incDs,5285.88780397016,4229.27695364028,6463.46468013408
2034,baseline,N_incDs,5167.01256729381,4115.48606268396,6338.55539600825
2035,baseline,N_incDs,5053.20458434056,4006.30410984622,6229.99176537297
2036,baseline,N_incDs,4940.10667315807,3904.19628254774,6143.01320335146
2037,baseline,N_incDs,4842.98565029279,3810.20200801969,6057.57319347658
2038,baseline,N_incDs,4751.38977008733,3719.95056396924,5961.86916588328
2039,baseline,N_incDs,4656.4903393305,3632.87030400039,5865.98926906858
2040,baseline,N_incDs,4565.53674076926,3546.49123797524,5786.87877587119
2041,baseline,N_incDs,4480.56128985163,3463.52593299076,5712.59202336161
2042,baseline,N_incDs,4392.20434165633,3383.75899316933,5642.07023405989
2043,baseline,N_incDs,4310.2776217429,3307.00077476054,5583.10490316332
2044,baseline,N_incDs,4231.29805026231,3235.76219954769,5522.80302002519
2045,baseline,N_incDs,4160.41536166807,3170.80668450251,5465.26824795254
2046,baseline,N_incDs,4087.36522086218,3100.266925841,5405.04607222878
2047,baseline,N_incDs,4011.93655145831,3034.86480200993,5351.15608010282
2048,baseline,N_incDs,3945.88367527788,2979.88649858179,5304.88034143458
2049,baseline,N_incDs,3883.12434536087,2918.73060798504,5260.21375741155
2050,baseline,N_incDs,3830.4786020866,2856.03057978225,5212.22098608239
2023,ProgAnyDisease_AI,N_incDs,6744.05323500878,5643.17205421379,7838.85518144628
2024,ProgAnyDisease_AI,N_incDs,6568.40325505894,5464.02439072537,7656.98234689491
2025,ProgAnyDisease_AI,N_incDs,6391.97760041829,5297.84700817743,7499.89896162093
2026,ProgAnyDisease_AI,N_incDs,6229.60867866171,5149.87775954417,7356.81748043305
2027,ProgAnyDisease_AI,N_incDs,6076.68125182874,4996.65648102805,7218.16395357859
2028,ProgAnyDisease_AI,N_incDs,5927.39366634957,4859.74723832356,7087.98620450475
2029,ProgAnyDisease_AI,N_incDs,5795.67969844489,4725.36280743251,6961.90105810722
2030,ProgAnyDisease_AI,N_incDs,5608.42063587441,4536.93125933314,6763.30095340624
2031,ProgAnyDisease_AI,N_incDs,5379.31490575984,4329.44786760763,6521.49103024035
2032,ProgAnyDisease_AI,N_incDs,5122.69815865249,4096.99831144802,6253.1354905244
2033,ProgAnyDisease_AI,N_incDs,4853.21614068614,3854.73014783833,5965.9835297684
2034,ProgAnyDisease_AI,N_incDs,4587.21217847818,3621.7142838328,5647.99128169839
2035,ProgAnyDisease_AI,N_incDs,4345.98641745583,3423.08666608282,5381.58132417525
2036,ProgAnyDisease_AI,N_incDs,4134.3579168092,3248.34024476233,5148.29067059269
2037,ProgAnyDisease_AI,N_incDs,3931.7421905972,3089.92222329482,4927.55451192605
2038,ProgAnyDisease_AI,N_incDs,3754.89382551189,2945.86278601997,4732.62537370281
2039,ProgAnyDisease_AI,N_incDs,3587.01700757216,2814.35536053321,4555.06519499061
2040,ProgAnyDisease_AI,N_incDs,3283.46589072406,2556.67435772363,4256.11176726456
2041,ProgAnyDisease_AI,N_incDs,3056.41217609629,2375.70180018294,4010.26852710078
2042,ProgAnyDisease_AI,N_incDs,2876.84729526172,2215.5551658197,3779.20050145354
2043,ProgAnyDisease_AI,N_incDs,2690.15625698223,2070.97165300106,3587.19983161463
2044,ProgAnyDisease_AI,N_incDs,2534.50234639734,1942.83910189142,3418.76235013758
2045,ProgAnyDisease_AI,N_incDs,2399.58207856179,1834.75901939777,3269.886781734
2046,ProgAnyDisease_AI,N_incDs,2284.05344954156,1737.81415898685,3134.98342757774
2047,ProgAnyDisease_AI,N_incDs,2174.00049605435,1650.73387404247,3012.49289661402
