Year,Runtype,Indicator,medval,lowval,highval
2023,baseline,N_incDs,6643.62400203406,5455.35700604816,8116.83524548418
2024,baseline,N_incDs,6467.38804745434,5278.29109880545,7934.55018924734
2025,baseline,N_incDs,6299.05310863721,5111.23676684922,7748.61920382586
2026,baseline,N_incDs,6144.87642406014,4953.40126160228,7568.83047751644
2027,baseline,N_incDs,5989.22916852437,4804.19313081982,7399.48152530516
2028,baseline,N_incDs,5841.97760144946,4663.02047417984,7237.40628495271
2029,baseline,N_incDs,5695.79404397938,4533.70054872038,7086.43543292565
2030,baseline,N_incDs,5560.95096083912,4401.54293444568,6939.50804843013
2031,baseline,N_incDs,5427.62158053221,4281.88680414769,6790.97607113688
2032,baseline,N_incDs,5300.59968873737,4165.67215369306,6657.6252582801
2033,baseline,N_incDs,5186.19602858758,4049.44774898631,6520.91134332107
2034,baseline,N_incDs,5075.87091868039,3942.95302356321,6388.84684967739
2035,baseline,N_incDs,4960.14414490745,3844.22772123785,6271.49850597106
2036,baseline,N_incDs,4859.92408954549,3744.61659151945,6182.21984808015
2037,baseline,N_incDs,4757.67654020675,3654.25864055281,6087.80787722273
2038,baseline,N_incDs,4660.00375671866,3562.18445839171,5994.13780955255
2039,baseline,N_incDs,4570.93626785022,3481.15282429575,5903.34599722456
2040,baseline,N_incDs,4478.32287642934,3391.16794233157,5813.04163616651
2041,baseline,N_incDs,4395.30024090927,3305.36603410536,5728.54329666958
2042,baseline,N_incDs,4314.93126605064,3225.99885963779,5646.90483001904
2043,baseline,N_incDs,4236.68589939514,3149.60242689563,5567.97019007608
2044,baseline,N_incDs,4162.33858792729,3073.1420864931,5490.93607896794
2045,baseline,N_incDs,4083.88161374834,2993.9661455749,5407.42939202588
2046,baseline,N_incDs,4011.74887196664,2917.7089149008,5329.27035107868
2047,baseline,N_incDs,3942.52609594151,2844.18624280266,5261.84011802142
2048,baseline,N_incDs,3870.23939467072,2773.26223281135,5208.94895884321
2049,baseline,N_incDs,3802.49314268998,2704.81493457209,5161.16081992794
2050,baseline,N_incDs,3738.94583360459,2642.64899477497,5103.75355106081
2023,ProgAnyDisease_CI,N_incDs,6643.62400198878,5455.35700603707,8116.83524548537
2024,ProgAnyDisease_CI,N_incDs,6467.38804742427,5278.29109879975,7934.55018924595
2025,ProgAnyDisease_CI,N_incDs,6299.0531085628,5111.23676684109,7748.61920382128
2026,ProgAnyDisease_CI,N_incDs,6144.87642405444,4953.40126158934,7568.8304775086
2027,ProgAnyDisease_CI,N_incDs,5989.22916852199,4804.19313081037,7399.48152530609
2028,ProgAnyDisease_CI,N_incDs,5841.97760142622,4663.02047417176,7237.40628494751
2029,ProgAnyDisease_CI,N_incDs,5695.79404395703,4533.70054871171,7086.43543291908
2030,ProgAnyDisease_CI,N_incDs,5525.28238846332,4373.84239394898,6910.20721113319
2031,ProgAnyDisease_CI,N_incDs,5363.89351248091,4224.32767971884,6731.41027158902
2032,ProgAnyDisease_CI,N_incDs,5208.78904864177,4080.58426025167,6552.15581805193
2033,ProgAnyDisease_CI,N_incDs,5058.63756494402,3945.81236577544,6388.56978395195
2034,ProgAnyDisease_CI,N_incDs,4925.46592725386,3820.26120984076,6228.36518373364
2035,ProgAnyDisease_CI,N_incDs,4815.3599697624,3710.42440185328,6086.57306286228
2036,ProgAnyDisease_CI,N_incDs,4703.29171302012,3610.80792567473,5968.01843685413
2037,ProgAnyDisease_CI,N_incDs,4597.69058577108,3516.48277563325,5870.82928769454
2038,ProgAnyDisease_CI,N_incDs,4496.37116878218,3415.42171496247,5769.38990099434
2039,ProgAnyDisease_CI,N_incDs,4400.05789152239,3314.9996641751,5668.79325304295
2040,ProgAnyDisease_CI,N_incDs,4184.13084420073,3146.70204628478,5420.25393319498
2041,ProgAnyDisease_CI,N_incDs,4098.93386194227,3064.39739723349,5330.24770595904
2042,ProgAnyDisease_CI,N_incDs,4008.28202485786,2979.79602065083,5233.72608204964
