Year,Runtype,Indicator,medval,lowval,highval
2023,baseline,N_incDs,7640.1148844137,5852.42831870446,8229.2939757265
2024,baseline,N_incDs,7429.97928672607,5659.77112696763,8032.26647335538
2025,baseline,N_incDs,7231.07370340845,5459.2100102744,7843.83788892395
2026,baseline,N_incDs,7042.24836749306,5266.80108003039,7663.21620894716
2027,baseline,N_incDs,6863.56281335125,5084.24826519369,7489.02396823535
2028,baseline,N_incDs,6687.01800258256,4910.92855261137,7321.75686664971
2029,baseline,N_incDs,6512.28082478355,4749.87201674919,7160.83957791994
2030,baseline,N_incDs,6352.7643388783,4603.15228971427,7008.02972293628
2031,baseline,N_incDs,6196.72358705504,4460.71671331466,6860.61773108137
2032,baseline,N_incDs,6043.31356782645,4326.8469600736,6718.31757454716
2033,baseline,N_incDs,5900.17436276202,4195.70511654245,6579.61885439317
2034,baseline,N_incDs,5762.90555111145,4066.02549381432,6443.21768675813
2035,baseline,N_incDs,5630.04266545026,3942.21521081653,6309.39224161652
2036,baseline,N_incDs,5501.3501103564,3823.95929860199,6181.39241640084
2037,baseline,N_incDs,5379.79365983595,3711.02825268635,6063.19452473492
2038,baseline,N_incDs,5262.63349985357,3603.16485255121,5944.64461961825
2039,baseline,N_incDs,5148.51571768995,3500.15701781158,5829.87003769466
2040,baseline,N_incDs,5036.31544446358,3401.88048588309,5717.76231126126
2041,baseline,N_incDs,4928.99615294768,3309.19451591118,5609.5575981863
2042,baseline,N_incDs,4825.18057673414,3224.02823819551,5505.06374708099
2043,baseline,N_incDs,4725.09172936966,3142.36781634322,5406.35105405974
2044,baseline,N_incDs,4628.73479073178,3064.48742022185,5314.6135058267
2045,baseline,N_incDs,4537.88320770036,2985.96009391961,5228.20292327495
2046,baseline,N_incDs,4448.82713503244,2910.0015291228,5147.08938176188
2047,baseline,N_incDs,4361.20661617418,2837.04145420678,5060.28181368602
2048,baseline,N_incDs,4276.37385830209,2766.91864962239,4975.96031949566
2049,baseline,N_incDs,4197.01362115019,2699.59983013939,4894.48120116566
2050,baseline,N_incDs,4120.2666441971,2634.81902912378,4819.12061813439
2023,ProgAnyDisease_AI,N_incDs,7640.11488440869,5852.42831869964,8229.29397571861
2024,ProgAnyDisease_AI,N_incDs,7429.97928672458,5659.77112696299,8032.2664733513
2025,ProgAnyDisease_AI,N_incDs,7231.0737034084,5459.21001027464,7843.83788891881
2026,ProgAnyDisease_AI,N_incDs,7042.24836749542,5266.80108002844,7663.21620894207
2027,ProgAnyDisease_AI,N_incDs,6863.56281334932,5084.24826518613,7489.02396823052
2028,ProgAnyDisease_AI,N_incDs,6687.01800257928,4910.92855260991,7321.75686664758
2029,ProgAnyDisease_AI,N_incDs,6512.28082477715,4749.87201671417,7160.83957791874
2030,ProgAnyDisease_AI,N_incDs,6310.76372955396,4552.82428125481,6959.64663466259
2031,ProgAnyDisease_AI,N_incDs,6065.02475549613,4345.76201002656,6714.84369996901
2032,ProgAnyDisease_AI,N_incDs,5799.62528345844,4109.01208385603,6436.82785345371
2033,ProgAnyDisease_AI,N_incDs,5506.19422847876,3861.92388112485,6134.66409962158
2034,ProgAnyDisease_AI,N_incDs,5200.44372672145,3610.30901910042,5816.85717877511
2035,ProgAnyDisease_AI,N_incDs,4929.25712634211,3396.95498238673,5523.3723903999
2036,ProgAnyDisease_AI,N_incDs,4684.72026285468,3197.61214396197,5259.12624713254
