Year,Runtype,Indicator,medval,lowval,highval,combined,
2030,ProgAnyDisease_AI,cumulative_incDc,2221.915991,1942.326297,2672.66345,"2.2 (1.9, 2.7) million",
2030,ProgAnyDisease_AI,cumulative_incDs,5502.57924,4354.901987,6887.397901,"5.5 (4.4, 6.9) million",
2030,ProgAnyDisease_AI,cumulative_incDsDc,7718.645435,6313.441894,9413.474515,"7.7 (6.3, 9.4) million",
2030,ProgAnyDisease_AI,cumulative_incDn,6481.611908,4075.151919,9215.032835,"6.5 (4.1, 9.2) million",
2030,ProgAnyDisease_AI,cumulative_mort,373.5839367,333.2144319,430.206274,"0.4 (0.3, 0.4) million",
2031,ProgAnyDisease_AI,cumulative_incDc,4361.341491,3800.987451,5244.979778,"4.4 (3.8, 5.2) million",
2031,ProgAnyDisease_AI,cumulative_incDs,10797.15154,8513.959853,13529.00906,"10.8 (8.5, 13.5) million",
2031,ProgAnyDisease_AI,cumulative_incDsDc,15124.92888,12333.09095,18499.61578,"15.1 (12.3, 18.5) million",
2031,ProgAnyDisease_AI,cumulative_incDn,12625.34448,7904.502126,17981.76904,"12.6 (7.9, 18) million",
2031,ProgAnyDisease_AI,cumulative_mort,734.7861831,652.7491081,847.0812905,"0.7 (0.7, 0.8) million",
2032,ProgAnyDisease_AI,cumulative_incDc,6389.029807,5565.535789,7704.336212,"6.4 (5.6, 7.7) million","6.39 (5.57, 7.7)"
2032,ProgAnyDisease_AI,cumulative_incDs,15862.45859,12464.12222,19892.01776,"15.9 (12.5, 19.9) million","15.86 (12.46, 19.89)"
2032,ProgAnyDisease_AI,cumulative_incDsDc,22216.504,18062.21627,27214.71132,"22.2 (18.1, 27.2) million","22.22 (18.06, 27.21)"
2032,ProgAnyDisease_AI,cumulative_incDn,18409.62905,11480.29965,26287.11566,"18.4 (11.5, 26.3) million","18.41 (11.48, 26.29)"
2032,ProgAnyDisease_AI,cumulative_mort,1081.08775,956.9860107,1247.917371,"1.1 (1, 1.2) million","1.08 (0.96, 1.25)"
2033,ProgAnyDisease_AI,cumulative_incDc,8321.60954,7227.927739,10068.82148,"8.3 (7.2, 10.1) million",
2033,ProgAnyDisease_AI,cumulative_incDs,20659.75406,16197.54988,25936.20583,"20.7 (16.2, 25.9) million",
2033,ProgAnyDisease_AI,cumulative_incDsDc,28942.86853,23468.1702,35526.38375,"28.9 (23.5, 35.5) million",
2033,ProgAnyDisease_AI,cumulative_incDn,23818.73964,14802.39945,34086.71361,"23.8 (14.8, 34.1) million",
2033,ProgAnyDisease_AI,cumulative_mort,1411.143503,1245.284814,1632.334856,"1.4 (1.2, 1.6) million",
2034,ProgAnyDisease_AI,cumulative_incDc,10154.72546,8789.407708,12307.08064,"10.2 (8.8, 12.3) million",
2034,ProgAnyDisease_AI,cumulative_incDs,25160.42262,19711.01499,31671.39185,"25.2 (19.7, 31.7) million",
2034,ProgAnyDisease_AI,cumulative_incDsDc,35255.06077,28564.32055,43412.6418,"35.3 (28.6, 43.4) million",
2034,ProgAnyDisease_AI,cumulative_incDn,28886.49597,17899.62662,41395.70679,"28.9 (17.9, 41.4) million",
2034,ProgAnyDisease_AI,cumulative_mort,1727.077148,1517.736213,2000.361146,"1.7 (1.5, 2) million",
2035,ProgAnyDisease_AI,cumulative_incDc,11885.8759,10283.04778,14442.41044,"11.9 (10.3, 14.4) million",
2035,ProgAnyDisease_AI,cumulative_incDs,29425.52976,23040.72722,37125.83152,"29.4 (23, 37.1) million",
2035,ProgAnyDisease_AI,cumulative_incDsDc,41259.41806,33388.54009,50958.49187,"41.3 (33.4, 51) million",
2035,ProgAnyDisease_AI,cumulative_incDn,33797.07677,20826.17472,48381.09683,"33.8 (20.8, 48.4) million",
2035,ProgAnyDisease_AI,cumulative_mort,2023.81728,1774.533734,2346.015855,"2 (1.8, 2.3) million",
2036,ProgAnyDisease_AI,cumulative_incDc,13522.08203,11701.13372,16491.48945,"13.5 (11.7, 16.5) million",
2036,ProgAnyDisease_AI,cumulative_incDs,33573.3193,26202.32,42321.02708,"33.6 (26.2, 42.3) million",
2036,ProgAnyDisease_AI,cumulative_incDsDc,47064.24853,37969.06771,58085.25158,"47.1 (38, 58.1) million",
2036,ProgAnyDisease_AI,cumulative_incDn,38460.07405,23600.22045,55063.81016,"38.5 (23.6, 55.1) million",
2036,ProgAnyDisease_AI,cumulative_mort,2307.25941,2016.83378,2675.904039,"2.3 (2, 2.7) million",
2037,ProgAnyDisease_AI,cumulative_incDc,15105.19953,13051.02963,18405.11589,"15.1 (13.1, 18.4) million",
2037,ProgAnyDisease_AI,cumulative_incDs,37480.83974,29199.42156,47278.38042,"37.5 (29.2, 47.3) million",
2037,ProgAnyDisease_AI,cumulative_incDsDc,52568.5574,42320.11606,64846.29119,"52.6 (42.3, 64.8) million",
2037,ProgAnyDisease_AI,cumulative_incDn,42917.23574,26235.19799,61477.00526,"42.9 (26.2, 61.5) million",
2037,ProgAnyDisease_AI,cumulative_mort,2577.539593,2243.892885,2993.193059,"2.6 (2.2, 3) million",
2038,ProgAnyDisease_AI,cumulative_incDc,16614.92398,14339.0518,20266.00058,"16.6 (14.3, 20.3) million",
2038,ProgAnyDisease_AI,cumulative_incDs,41161.33847,32048.71122,52038.54846,"41.2 (32, 52) million",
2038,ProgAnyDisease_AI,cumulative_incDsDc,57802.89362,46387.84135,71332.54236,"57.8 (46.4, 71.3) million",
2038,ProgAnyDisease_AI,cumulative_incDn,47165.15989,28742.52841,67638.07577,"47.2 (28.7, 67.6) million",
2038,ProgAnyDisease_AI,cumulative_mort,2835.06159,2458.851335,3297.383242,"2.8 (2.5, 3.3) million",
2039,ProgAnyDisease_AI,cumulative_incDc,18040.75106,15564.83877,22060.65652,"18 (15.6, 22.1) million",
2039,ProgAnyDisease_AI,cumulative_incDs,44710.39434,34783.1537,56618.94502,"44.7 (34.8, 56.6) million",
2039,ProgAnyDisease_AI,cumulative_incDsDc,62833.20204,50253.76528,77659.80854,"62.8 (50.3, 77.7) million",
