Year,Runtype,Indicator,medval,lowval,highval
2023,baseline,N_incDs,6495.01202655577,5297.40498570232,7920.93053741562
2024,baseline,N_incDs,6313.88454123187,5120.65987335361,7745.19136776411
2025,baseline,N_incDs,6152.17108067583,4959.25880134495,7577.63674275863
2026,baseline,N_incDs,5997.02351931027,4811.5974501385,7422.53440950052
2027,baseline,N_incDs,5849.89417067877,4673.13262549377,7278.43681817346
2028,baseline,N_incDs,5698.02434569863,4539.51509358834,7141.95750197682
2029,baseline,N_incDs,5552.7462165068,4409.76328060905,7016.96618720475
2030,baseline,N_incDs,5416.34907014539,4282.35027754142,6899.71560274387
2031,baseline,N_incDs,5284.10472665954,4161.37741183408,6778.25640702495
2032,baseline,N_incDs,5159.35171439204,4046.55719874165,6662.41205644762
2033,baseline,N_incDs,5045.37077283459,3942.34944335573,6541.75119059942
2034,baseline,N_incDs,4933.89717663957,3836.83088516194,6422.53128467533
2035,baseline,N_incDs,4839.50166649147,3736.29882509683,6312.293222585
2036,baseline,N_incDs,4737.54603882391,3640.42397881843,6205.81792596172
2037,baseline,N_incDs,4640.22905119552,3550.18263722379,6105.91243046412
2038,baseline,N_incDs,4542.88495065365,3465.73304626029,6018.62310381072
2039,baseline,N_incDs,4454.58900779046,3383.42381797015,5924.28905037072
2040,baseline,N_incDs,4365.89479203395,3304.30379525991,5834.77311561795
2041,baseline,N_incDs,4277.51588148247,3227.83944878493,5754.16594983874
2042,baseline,N_incDs,4195.70009104481,3153.68453431843,5685.23294592221
2043,baseline,N_incDs,4122.60406046338,3080.51304165544,5619.55910599584
2044,baseline,N_incDs,4049.27996256652,3009.22628378494,5542.26280298853
2045,baseline,N_incDs,3980.081157805,2931.91278750734,5467.1228600006
2046,baseline,N_incDs,3904.98461186117,2865.0109728527,5395.40025217487
2047,baseline,N_incDs,3836.85135804898,2798.13288574137,5330.38682060903
2048,baseline,N_incDs,3769.05062379878,2733.67481975056,5267.26510279567
2049,baseline,N_incDs,3707.87888646584,2671.44788265326,5205.95505424216
2050,baseline,N_incDs,3642.75912643034,2611.32092003302,5143.8137428364
2023,ProgAnyDisease_AI,N_incDs,6495.01202655062,5297.40498569203,7920.93053740613
2024,ProgAnyDisease_AI,N_incDs,6313.88454123145,5120.65987334206,7745.19136772895
2025,ProgAnyDisease_AI,N_incDs,6152.17108067024,4959.25880133283,7577.63674272081
2026,ProgAnyDisease_AI,N_incDs,5997.02351930089,4811.5974501186,7422.53440946569
2027,ProgAnyDisease_AI,N_incDs,5849.89417063186,4673.13262546111,7278.43681813936
2028,ProgAnyDisease_AI,N_incDs,5698.02434569208,4539.51509355551,7141.95750194426
2029,ProgAnyDisease_AI,N_incDs,5552.74621650288,4409.76328058815,7016.96618719123
2030,ProgAnyDisease_AI,N_incDs,5362.42293370266,4238.92032145111,6829.02231380112
2031,ProgAnyDisease_AI,N_incDs,5146.74554776577,4045.84930514599,6596.61734589303
2032,ProgAnyDisease_AI,N_incDs,4912.09250610954,3842.34642812346,6327.33873983556
2033,ProgAnyDisease_AI,N_incDs,4657.49604298323,3633.01039079598,6033.48444586356
2034,ProgAnyDisease_AI,N_incDs,4396.53763523256,3415.09292536735,5723.00579847058
2035,ProgAnyDisease_AI,N_incDs,4181.41641724865,3224.29546681213,5459.0257023462
2036,ProgAnyDisease_AI,N_incDs,3988.95668212992,3048.10070087899,5227.62514009655
2037,ProgAnyDisease_AI,N_incDs,3805.73886249497,2885.45791291093,5016.54071033039
2038,ProgAnyDisease_AI,N_incDs,3635.8450117436,2745.9082655532,4825.84721314321
2039,ProgAnyDisease_AI,N_incDs,3479.92548952107,2616.38052802472,4651.92450778218
2040,ProgAnyDisease_AI,N_incDs,3202.98497608742,2375.11934259247,4348.27345042535
2041,ProgAnyDisease_AI,N_incDs,2991.65678517885,2206.41010266271,4098.00751809873
2042,ProgAnyDisease_AI,N_incDs,2807.69254193906,2055.41859947691,3876.43329321907
2043,ProgAnyDisease_AI,N_incDs,2650.9935776218,1921.8105913277,3679.01051092936
2044,ProgAnyDisease_AI,N_incDs,2511.74664215358,1801.79254844318,3499.50928404807
2045,ProgAnyDisease_AI,N_incDs,2379.02107282594,1694.84963507059,3342.53485435178
2046,ProgAnyDisease_AI,N_incDs,2264.01034841646,1599.35735883422,3195.58466327869
2047,ProgAnyDisease_AI,N_incDs,2156.95851583359,1513.86000676855,3071.34315879
2048,ProgAnyDisease_AI,N_incDs,2063.8931360776,1437.05419870478,2954.1593101243
2049,ProgAnyDisease_AI,N_incDs,1980.62192262979,1367.83578984215,2845.32649769734
2050,ProgAnyDisease_AI,N_incDs,1900.93247767617,1305.24575645242,2747.86709208995
2023,ProgInfecDisease_AI,N_incDs,6495.01202655062,5297.40498569203,7920.93053740613
2024,ProgInfecDisease_AI,N_incDs,6313.88454123145,5120.65987334206,7745.19136772895
2025,ProgInfecDisease_AI,N_incDs,6152.17108067024,4959.25880133283,7577.63674272081
2026,ProgInfecDisease_AI,N_incDs,5997.02351930089,4811.5974501186,7422.53440946569
2027,ProgInfecDisease_AI,N_incDs,5849.89417063186,4673.13262546111,7278.43681813936
2028,ProgInfecDisease_AI,N_incDs,5698.02434569208,4539.51509355551,7141.95750194426
2029,ProgInfecDisease_AI,N_incDs,5552.74621650288,4409.76328058815,7016.96618719123
2030,ProgInfecDisease_AI,N_incDs,5362.27622687812,4238.5493579007,6828.68764849849
2031,ProgInfecDisease_AI,N_incDs,5149.78240482957,4047.92178727135,6601.02416096239
2032,ProgInfecDisease_AI,N_incDs,4920.26973152418,3850.8010682747,6344.38603515701
2033,ProgInfecDisease_AI,N_incDs,4685.05587693391,3652.70437288707,6072.84417856421
2034,ProgInfecDisease_AI,N_incDs,4444.3591082666,3450.13796204366,5793.01786889989
2035,ProgInfecDisease_AI,N_incDs,4255.4533946777,3280.74815923085,5563.25344804508
2036,ProgInfecDisease_AI,N_incDs,4084.39465858898,3127.63419390021,5365.2511755781
2037,ProgInfecDisease_AI,N_incDs,3930.82569639755,2991.03650488277,5197.40285870328
2038,ProgInfecDisease_AI,N_incDs,3790.20116204147,2868.49364821524,5054.62792692807
2039,ProgInfecDisease_AI,N_incDs,3662.84074978861,2755.55124664098,4928.66385595409
2040,ProgInfecDisease_AI,N_incDs,3402.69760228687,2521.13785037475,4676.90968678228
2041,ProgInfecDisease_AI,N_incDs,3218.33215166789,2363.8595672822,4457.89945777977
2042,ProgInfecDisease_AI,N_incDs,3057.63724723821,2226.94534565535,4254.24227190006
2043,ProgInfecDisease_AI,N_incDs,2917.38441341182,2107.80734691421,4078.42549390437
2044,ProgInfecDisease_AI,N_incDs,2791.73147278461,2002.93157927079,3924.21694483078
2045,ProgInfecDisease_AI,N_incDs,2680.31912003369,1906.89451437533,3791.57675307597
